dataset_name,random_state,alpha0,sigma0,nEpochs,cm_tr,cm_ts
vc2c,1653480952,0.1,6.5,100,[155  13  22  58],[37  5  5 15]
vc2c,333432936,0.3,6.5,100,[153  15  18  62],[36  6  4 16]
vc3c,1087673826,0.1,3.0,100,[ 37  11   0  18  59   3   3   3 114],[ 7  5  0  6 12  2  1  2 27]
vc2c,1101415437,0.5,3.0,100,[151  17  13  67],[34  8  7 13]
vc2c,619385169,0.1,3.0,100,[149  19  19  61],[38  4  2 18]
vc2c,334409416,0.3,6.5,100,[152  16  17  63],[39  3  8 12]
vc3c,508038953,0.3,3.0,100,[ 33  15   0  15  58   7   1   3 116],[10  2  0  4 13  3  1  1 28]
vc2c,471135573,0.5,10.0,100,[158  10  22  58],[40  2  6 14]
vc2c,1653480952,0.1,10.0,100,[153  15  22  58],[37  5  5 15]
vc2c,333432936,0.3,10.0,100,[154  14  20  60],[36  6  4 16]
vc3c,1087673826,0.1,6.5,100,[ 36  12   0  13  64   3   3   3 114],[ 7  5  0  6 12  2  1  1 28]
vc2c,1101415437,0.5,6.5,100,[153  15  13  67],[34  8  6 14]
vc2c,619385169,0.1,6.5,100,[156  12  24  56],[39  3  4 16]
vc2c,334409416,0.3,10.0,100,[154  14  15  65],[38  4  8 12]
vc2c,1554951913,0.1,3.0,100,[160   8  21  59],[36  6  8 12]
vc3c,508038953,0.3,6.5,100,[ 36  12   0  15  58   7   1   3 116],[10  2  0  4 14  2  1  1 28]
vc2c,1653480952,0.3,3.0,100,[153  15  22  58],[37  5  5 15]
vc2c,333432936,0.5,3.0,100,[153  15  18  62],[37  5  5 15]
vc3c,1087673826,0.1,10.0,100,[ 37  11   0  15  62   3   6   2 112],[ 7  5  0  7 11  2  2  1 27]
vc2c,1101415437,0.5,10.0,100,[155  13  14  66],[36  6  4 16]
vc2c,619385169,0.1,10.0,100,[154  14  26  54],[39  3  4 16]
vc2c,334409416,0.5,3.0,100,[156  12  17  63],[39  3  8 12]
vc3c,508038953,0.3,10.0,100,[ 30  16   2  16  56   8   1   1 118],[10  2  0  4 13  3  1  1 28]
vc2c,1554951913,0.1,6.5,100,[158  10  25  55],[34  8  8 12]
vc2c,1653480952,0.3,6.5,100,[156  12  22  58],[37  5  4 16]
vc3c,1087673826,0.3,3.0,100,[ 39   9   0  18  58   4   2   2 116],[ 8  4  0  6 10  4  1  1 28]
vc2c,333432936,0.5,6.5,100,[154  14  19  61],[36  6  4 16]
vc2c,619385169,0.3,3.0,100,[154  14  17  63],[36  6  3 17]
vc2c,10485144,0.1,3.0,100,[153  15  22  58],[39  3  8 12]
vc2c,334409416,0.5,6.5,100,[154  14  18  62],[39  3  8 12]
vc2c,1554951913,0.1,10.0,100,[158  10  25  55],[34  8 10 10]
vc3c,508038953,0.5,3.0,100,[ 32  16   0  15  58   7   1   2 117],[10  2  0  4 13  3  1  1 28]
vc3c,1087673826,0.3,6.5,100,[ 36  12   0  13  63   4   5   2 113],[ 8  4  0  3 13  4  2  1 27]
vc2c,1653480952,0.3,10.0,100,[153  15  22  58],[37  5  6 14]
vc2c,333432936,0.5,10.0,100,[154  14  20  60],[37  5  4 16]
vc2c,10485144,0.1,6.5,100,[156  12  14  66],[36  6  5 15]
vc2c,334409416,0.5,10.0,100,[154  14  21  59],[37  5  5 15]
vc2c,619385169,0.3,6.5,100,[154  14  20  60],[37  5  3 17]
vc2c,1554951913,0.3,3.0,100,[159   9  23  57],[35  7  7 13]
vc3c,508038953,0.5,6.5,100,[ 33  15   0  15  58   7   1   3 116],[10  2  0  4 14  2  1  1 28]
vc3c,1087673826,0.3,10.0,100,[ 34  14   0  10  64   6   3   1 116],[ 7  5  0  3 15  2  1  1 28]
vc2c,1653480952,0.5,3.0,100,[156  12  22  58],[37  5  5 15]
vc2c,532759030,0.1,3.0,100,[153  15  21  59],[40  2  6 14]
vc2c,10485144,0.1,10.0,100,[153  15  21  59],[39  3  8 12]
vc2c,678341316,0.1,3.0,100,[152  16  24  56],[36  6  7 13]
vc2c,1554951913,0.3,6.5,100,[151  17  16  64],[36  6  8 12]
vc2c,619385169,0.3,10.0,100,[155  13  21  59],[37  5  2 18]
vc3c,508038953,0.5,10.0,100,[ 34  14   0  15  56   9   1   3 116],[10  1  1  4 14  2  1  1 28]
vc3c,1087673826,0.5,3.0,100,[ 37  11   0  19  58   3   5   4 111],[ 9  3  0  4 14  2  2  1 27]
vc2c,532759030,0.1,6.5,100,[157  11  20  60],[39  3  8 12]
vc2c,1653480952,0.5,6.5,100,[156  12  20  60],[37  5  6 14]
vc2c,10485144,0.3,3.0,100,[153  15  19  61],[38  4 10 10]
vc2c,678341316,0.1,6.5,100,[155  13  24  56],[36  6  6 14]
vc2c,1554951913,0.3,10.0,100,[156  12  22  58],[34  8  8 12]
vc2c,619385169,0.5,3.0,100,[151  17  21  59],[37  5  4 16]
vc3c,1851183120,0.1,3.0,100,[ 39   9   0  15  63   2   4   1 115],[ 9  3  0  3 16  1  0  2 28]
vc2c,10485144,0.3,6.5,100,[155  13  18  62],[39  3  8 12]
vc3c,1087673826,0.5,6.5,100,[ 37  11   0  16  60   4   3   1 116],[ 8  4  0  7 11  2  1  0 29]
vc2c,532759030,0.1,10.0,100,[152  16  20  60],[39  3  6 14]
vc2c,1653480952,0.5,10.0,100,[154  14  20  60],[37  5  4 16]
vc2c,678341316,0.1,10.0,100,[154  14  24  56],[36  6  5 15]
vc2c,1554951913,0.5,3.0,100,[152  16  22  58],[36  6  7 13]
vc2c,619385169,0.5,6.5,100,[155  13  14  66],[37  5  1 19]
vc3c,1851183120,0.1,6.5,100,[ 35  11   2  18  56   6   2   1 117],[10  2  0  5 13  2  1  0 29]
vc2c,10485144,0.3,10.0,100,[153  15  23  57],[39  3  8 12]
vc3c,1087673826,0.5,10.0,100,[ 37  11   0  16  60   4   4   1 115],[ 7  5  0  5 11  4  0  0 30]
vc2c,1112373123,0.1,3.0,100,[153  15  15  65],[37  5  4 16]
vc2c,532759030,0.3,3.0,100,[152  16  20  60],[39  3  6 14]
vc2c,678341316,0.3,3.0,100,[157  11  15  65],[37  5  4 16]
vc2c,1554951913,0.5,6.5,100,[159   9  14  66],[33  9  5 15]
vc2c,619385169,0.5,10.0,100,[156  12  17  63],[37  5  1 19]
vc2c,10485144,0.5,3.0,100,[156  12  18  62],[37  5  8 12]
vc3c,1851183120,0.1,10.0,100,[ 37   9   2  16  58   6   1   1 118],[11  1  0  5 13  2  0  1 29]
vc2c,1112373123,0.1,6.5,100,[155  13  14  66],[35  7  6 14]
vc3c,691114695,0.1,3.0,100,[ 35  13   0  15  56   9   1   2 117],[11  1  0  5 14  1  1  1 28]
vc2c,532759030,0.3,6.5,100,[153  15  19  61],[39  3  5 15]
vc2c,678341316,0.3,6.5,100,[152  16  24  56],[36  6  6 14]
vc2c,1554951913,0.5,10.0,100,[155  13  22  58],[35  7  7 13]
vc2c,1449455742,0.1,3.0,100,[153  15  21  59],[34  8  5 15]
vc2c,10485144,0.5,6.5,100,[153  15  21  59],[39  3  7 13]
vc3c,1851183120,0.3,3.0,100,[ 35  13   0  22  55   3   3   1 116],[10  1  1  5 13  2  0  1 29]
vc3c,691114695,0.1,6.5,100,[ 34  14   0  10  68   2   1   0 119],[ 9  3  0  3 16  1  1  1 28]
vc2c,1112373123,0.1,10.0,100,[158  10  19  61],[37  5  7 13]
vc2c,532759030,0.3,10.0,100,[152  16  20  60],[39  3  6 14]
vc2c,1920028039,0.1,3.0,100,[156  12  21  59],[35  7  7 13]
vc2c,678341316,0.3,10.0,100,[152  16  24  56],[36  6  5 15]
vc2c,10485144,0.5,10.0,100,[153  15  23  57],[38  4  7 13]
vc2c,1449455742,0.1,6.5,100,[154  14  22  58],[36  6  4 16]
vc3c,1851183120,0.3,6.5,100,[ 34  14   0  19  58   3   4   1 115],[10  2  0  4 14  2  0  2 28]
vc3c,691114695,0.1,10.0,100,[ 35  13   0  14  57   9   1   1 118],[11  1  0  5 14  1  1  0 29]
vc2c,1112373123,0.3,3.0,100,[155  13  20  60],[38  4  4 16]
vc2c,1920028039,0.1,6.5,100,[157  11  18  62],[35  7  5 15]
vc2c,532759030,0.5,3.0,100,[156  12  23  57],[38  4  7 13]
vc2c,678341316,0.5,3.0,100,[152  16  24  56],[36  6  5 15]
vc2c,80671294,0.1,3.0,100,[154  14  16  64],[34  8 10 10]
vc2c,1449455742,0.1,10.0,100,[154  14  18  62],[35  7  6 14]
vc3c,1851183120,0.3,10.0,100,[ 37  11   0  16  56   8   1   1 118],[ 7  4  1  3 15  2  0  1 29]
vc3c,691114695,0.3,3.0,100,[ 35  13   0  16  55   9   1   1 118],[10  1  1  5 14  1  1  0 29]
vc2c,1112373123,0.3,6.5,100,[156  12  16  64],[36  6  7 13]
vc2c,80671294,0.1,6.5,100,[153  15  17  63],[33  9  9 11]
vc2c,1920028039,0.1,10.0,100,[155  13  17  63],[35  7  5 15]
vc2c,678341316,0.5,6.5,100,[152  16  24  56],[36  6  6 14]
vc2c,532759030,0.5,6.5,100,[152  16  21  59],[39  3  6 14]
vc2c,1449455742,0.3,3.0,100,[152  16  19  61],[35  7  5 15]
vc3c,1851183120,0.5,3.0,100,[ 35  11   2  17  57   6   2   1 117],[ 9  3  0  4 14  2  0  1 29]
vc3c,691114695,0.3,6.5,100,[ 35  13   0  16  59   5   1   1 118],[11  1  0  5 15  0  1  1 28]
vc2c,1112373123,0.3,10.0,100,[155  13  18  62],[39  3  9 11]
vc2c,1920028039,0.3,3.0,100,[157  11  27  53],[38  4  5 15]
vc2c,80671294,0.1,10.0,100,[154  14  15  65],[34  8  9 11]
vc2c,678341316,0.5,10.0,100,[152  16  24  56],[36  6  6 14]
vc2c,532759030,0.5,10.0,100,[153  15  19  61],[38  4  6 14]
vc2c,1449455742,0.3,6.5,100,[155  13  25  55],[38  4  7 13]
vc3c,1851183120,0.5,6.5,100,[ 34  14   0  14  63   3   1   1 118],[ 8  3  1  3 16  1  0  1 29]
vc3c,691114695,0.3,10.0,100,[ 35  13   0  16  61   3   2   1 117],[11  1  0  5 14  1  1  1 28]
vc2c,1112373123,0.5,3.0,100,[158  10  17  63],[35  7  7 13]
vc2c,1920028039,0.3,6.5,100,[157  11  20  60],[35  7  5 15]
vc2c,80671294,0.3,3.0,100,[154  14  17  63],[35  7 10 10]
vc2c,570926191,0.1,3.0,100,[151  17  15  65],[34  8  5 15]
vc2c,1449455742,0.3,10.0,100,[153  15  21  59],[35  7  5 15]
vc2c,227947350,0.1,3.0,100,[156  12  19  61],[37  5  6 14]
vc3c,1851183120,0.5,10.0,100,[ 36  10   2  16  57   7   2   3 115],[11  1  0  4 14  2  0  1 29]
vc3c,691114695,0.5,3.0,100,[ 35  13   0  14  57   9   1   1 118],[11  1  0  5 14  1  1  0 29]
vc2c,1112373123,0.5,6.5,100,[155  13  17  63],[37  5  6 14]
vc2c,80671294,0.3,6.5,100,[152  16  17  63],[33  9 11  9]
vc2c,570926191,0.1,6.5,100,[153  15  16  64],[37  5  5 15]
vc2c,1920028039,0.3,10.0,100,[156  12  18  62],[36  6  5 15]
vc2c,227947350,0.1,6.5,100,[153  15  21  59],[38  4  5 15]
vc2c,1449455742,0.5,3.0,100,[156  12  23  57],[36  6  6 14]
vc3c,1657615533,0.1,3.0,100,[ 33  15   0  10  67   3   3   3 114],[ 8  4  0  5 15  0  1  3 26]
vc3c,691114695,0.5,6.5,100,[ 35  13   0  16  60   4   1   2 117],[ 9  1  2  5 15  0  1  1 28]
vc2c,1112373123,0.5,10.0,100,[153  15  17  63],[35  7  5 15]
vc2c,80671294,0.3,10.0,100,[154  14  15  65],[35  7  9 11]
vc2c,1449455742,0.5,6.5,100,[153  15  22  58],[35  7  4 16]
vc2c,1920028039,0.5,3.0,100,[157  11  24  56],[38  4  6 14]
vc2c,570926191,0.1,10.0,100,[153  15  19  61],[34  8  4 16]
vc2c,227947350,0.1,10.0,100,[153  15  17  63],[38  4  4 16]
vc3c,1657615533,0.1,6.5,100,[ 36  12   0  14  61   5   1   1 118],[ 9  3  0  6 14  0  1  2 27]
vc3c,691114695,0.5,10.0,100,[ 35  13   0  16  56   8   1   1 118],[10  1  1  5 14  1  1  0 29]
vc2c,622567416,0.1,3.0,100,[156  12  21  59],[40  2  8 12]
vc2c,80671294,0.5,3.0,100,[154  14  14  66],[34  8  9 11]
vc2c,1920028039,0.5,6.5,100,[158  10  20  60],[35  7  5 15]
vc2c,570926191,0.3,3.0,100,[154  14  16  64],[36  6  5 15]
vc2c,1449455742,0.5,10.0,100,[153  15  14  66],[36  6  4 16]
vc2c,227947350,0.3,3.0,100,[152  16  22  58],[38  4  5 15]
vc3c,1657615533,0.1,10.0,100,[ 38  10   0  15  60   5   1   1 118],[ 8  4  0  6 14  0  1  2 27]
vc3c,1355401493,0.1,3.0,100,[ 36  11   1  16  56   8   1   3 116],[ 7  4  1  2 16  2  1  0 29]
vc2c,622567416,0.1,6.5,100,[153  15  19  61],[37  5  8 12]
vc2c,80671294,0.5,6.5,100,[154  14  15  65],[35  7  9 11]
vc2c,227947350,0.3,6.5,100,[155  13  21  59],[38  4  5 15]
vc3c,1657615533,0.3,3.0,100,[ 36  11   1  14  63   3   1   2 117],[10  2  0  6 14  0  1  2 27]
vc2c,570926191,0.3,6.5,100,[154  14  15  65],[35  7  3 17]
vc2c,425754450,0.1,3.0,100,[153  15  24  56],[41  1  3 17]
vc2c,1920028039,0.5,10.0,100,[157  11  17  63],[35  7  7 13]
vc3c,1657615533,0.3,6.5,100,[ 39   9   0  10  66   4   1   2 117],[ 9  3  0  5 15  0  2  5 23]
vc2c,80671294,0.5,10.0,100,[154  14  16  64],[34  8 10 10]
vc3c,1355401493,0.1,6.5,100,[ 36  11   1  15  62   3   2   3 115],[ 7  5  0  2 16  2  0  2 28]
vc2c,227947350,0.3,10.0,100,[151  17  19  61],[38  4  5 15]
vc2c,425754450,0.1,6.5,100,[153  15  25  55],[39  3  6 14]
vc2c,1479093400,0.1,3.0,100,[155  13  16  64],[40  2  5 15]
vc3c,1355401493,0.1,10.0,100,[ 34  14   0  15  60   5   2   2 116],[ 7  5  0  2 16  2  0  1 29]
vc2c,797602122,0.1,3.0,100,[154  14  21  59],[34  8  6 14]
vc3c,1657615533,0.3,10.0,100,[ 38  10   0  14  63   3   6   2 112],[ 8  4  0  4 16  0  3  2 25]
vc2c,570926191,0.5,3.0,100,[151  17  17  63],[36  6  5 15]
vc2c,227947350,0.5,3.0,100,[154  14  16  64],[38  4  4 16]
vc2c,1479093400,0.1,6.5,100,[155  13  17  63],[39  3  5 15]
vc2c,622567416,0.3,3.0,100,[151  17  20  60],[36  6  7 13]
vc2c,425754450,0.1,10.0,100,[152  16  24  56],[41  1  3 17]
vc3c,1355401493,0.3,3.0,100,[ 37  10   1  16  57   7   1   3 116],[ 7  4  1  3 16  1  1  0 29]
vc3c,1657615533,0.5,3.0,100,[ 36  12   0  14  61   5   2   1 117],[ 8  4  0  6 14  0  1  2 27]
vc2c,797602122,0.1,6.5,100,[155  13  17  63],[35  7  6 14]
vc2c,570926191,0.5,6.5,100,[154  14  19  61],[35  7  4 16]
vc2c,227947350,0.5,6.5,100,[149  19  19  61],[38  4  3 17]
vc2c,1479093400,0.1,10.0,100,[158  10  22  58],[40  2  7 13]
vc2c,622567416,0.3,6.5,100,[155  13  21  59],[37  5  8 12]
vc2c,425754450,0.3,3.0,100,[157  11  18  62],[39  3  4 16]
vc2c,797602122,0.1,10.0,100,[155  13  19  61],[34  8  6 14]
vc3c,1355401493,0.3,6.5,100,[ 34  14   0  14  65   1   3   1 116],[ 5  6  1  2 16  2  0  3 27]
vc3c,1657615533,0.5,6.5,100,[ 36  12   0  18  59   3   2   1 117],[ 8  4  0  5 15  0  1  2 27]
vc2c,570926191,0.5,10.0,100,[154  14  20  60],[35  7  4 16]
vc2c,1479093400,0.3,3.0,100,[158  10  25  55],[40  2  9 11]
vc2c,227947350,0.5,10.0,100,[152  16  21  59],[39  3  5 15]
vc2c,622567416,0.3,10.0,100,[157  11  17  63],[36  6  7 13]
vc2c,425754450,0.3,6.5,100,[153  15  19  61],[39  3  4 16]
vc3c,1657615533,0.5,10.0,100,[ 33  11   4  12  56  12   1   0 119],[11  1  0  4 15  1  0  3 27]
vc2c,797602122,0.3,3.0,100,[153  15  22  58],[33  9  7 13]
vc3c,1355401493,0.3,10.0,100,[ 33  13   2  16  61   3   2   2 116],[ 8  4  0  2 16  2  0  3 27]
vc2c,1473392340,0.1,3.0,100,[154  14  17  63],[30 12  5 15]
vc2c,1479093400,0.3,6.5,100,[155  13  22  58],[40  2  7 13]
vc2c,1776050532,0.1,3.0,100,[150  18  24  56],[34  8  2 18]
vc2c,622567416,0.5,3.0,100,[157  11  22  58],[37  5  9 11]
vc3c,1595991044,0.1,3.0,100,[ 37  11   0  15  58   7   2   3 115],[ 6  6  0  4 13  3  0  0 30]
vc2c,797602122,0.3,6.5,100,[155  13  14  66],[34  8  5 15]
vc2c,425754450,0.3,10.0,100,[154  14  20  60],[41  1  5 15]
vc3c,1355401493,0.5,3.0,100,[ 34  13   1  16  61   3   2   3 115],[ 8  4  0  2 16  2  0  2 28]
vc2c,1473392340,0.1,6.5,100,[154  14  18  62],[34  8  4 16]
vc2c,1479093400,0.3,10.0,100,[152  16  16  64],[39  3  6 14]
vc2c,622567416,0.5,6.5,100,[160   8  19  61],[36  6  7 13]
vc2c,1776050532,0.1,6.5,100,[148  20  25  55],[34  8  3 17]
vc3c,1595991044,0.1,6.5,100,[ 37  11   0  14  59   7   2   2 116],[ 6  6  0  4 13  3  0  0 30]
vc2c,797602122,0.3,10.0,100,[155  13  23  57],[33  9  6 14]
vc3c,1355401493,0.5,6.5,100,[ 35  13   0  12  65   3   3   3 114],[ 7  5  0  2 16  2  0  3 27]
vc2c,425754450,0.5,3.0,100,[153  15  23  57],[40  2  5 15]
vc2c,1473392340,0.1,10.0,100,[154  14  16  64],[36  6  5 15]
vc2c,1479093400,0.5,3.0,100,[157  11  17  63],[39  3  6 14]
vc2c,622567416,0.5,10.0,100,[158  10  19  61],[35  7  8 12]
vc2c,1776050532,0.1,10.0,100,[152  16  21  59],[33  9  4 16]
vc3c,1595991044,0.1,10.0,100,[ 36  12   0  14  62   4   1   1 118],[ 4  7  1  5 12  3  1  1 28]
vc3c,1355401493,0.5,10.0,100,[ 36  12   0  16  63   1   1   2 117],[ 8  4  0  2 17  1  1  1 28]
vc2c,797602122,0.5,3.0,100,[156  12  22  58],[34  8  7 13]
vc2c,1473392340,0.3,3.0,100,[154  14  17  63],[33  9  4 16]
vc2c,425754450,0.5,6.5,100,[153  15  23  57],[38  4  4 16]
vc2c,1479093400,0.5,6.5,100,[153  15  17  63],[40  2  5 15]
vc2c,1909813593,0.1,3.0,100,[154  14  21  59],[35  7  5 15]
vc2c,1776050532,0.3,3.0,100,[156  12  12  68],[32 10  2 18]
vc3c,1595991044,0.3,3.0,100,[ 36  12   0  15  58   7   2   3 115],[ 6  6  0  4 13  3  0  0 30]
vc3c,1255808531,0.1,3.0,100,[ 35  13   0  11  63   6   1   3 116],[ 9  3  0  5 14  1  2  3 25]
vc2c,797602122,0.5,6.5,100,[156  12  19  61],[34  8  7 13]
vc2c,1473392340,0.3,6.5,100,[154  14  18  62],[32 10  2 18]
vc2c,425754450,0.5,10.0,100,[154  14  25  55],[40  2  5 15]
vc2c,1909813593,0.1,6.5,100,[154  14  21  59],[35  7  6 14]
vc2c,1479093400,0.5,10.0,100,[155  13  19  61],[40  2  6 14]
vc2c,1776050532,0.3,6.5,100,[151  17  21  59],[33  9  3 17]
vc3c,1595991044,0.3,6.5,100,[ 37  11   0  14  58   8   2   3 115],[ 6  6  0  4 13  3  0  0 30]
vc3c,1255808531,0.1,6.5,100,[ 36  12   0  11  62   7   0   4 116],[ 9  3  0  5 14  1  1  2 27]
vc2c,797602122,0.5,10.0,100,[156  12  17  63],[33  9  8 12]
vc2c,1006859072,0.1,3.0,100,[152  16  23  57],[42  0  7 13]
vc2c,1473392340,0.3,10.0,100,[153  15  18  62],[33  9  4 16]
vc2c,1909813593,0.1,10.0,100,[154  14  22  58],[35  7  5 15]
vc2c,1521916851,0.1,3.0,100,[154  14  13  67],[37  5  7 13]
vc2c,1776050532,0.3,10.0,100,[151  17  20  60],[33  9  5 15]
vc3c,1595991044,0.3,10.0,100,[ 37  11   0  14  61   5   2   2 116],[ 6  6  0  4 13  3  0  0 30]
vc2c,1903771434,0.1,3.0,100,[156  12  18  62],[31 11  6 14]
vc3c,1255808531,0.1,10.0,100,[ 37  11   0  12  63   5   2   2 116],[ 9  3  0  4 16  0  1  2 27]
vc2c,1006859072,0.1,6.5,100,[152  16  23  57],[42  0  7 13]
vc2c,1473392340,0.5,3.0,100,[152  16  18  62],[33  9  4 16]
vc2c,1909813593,0.3,3.0,100,[155  13  21  59],[36  6  6 14]
vc2c,1521916851,0.1,6.5,100,[156  12  21  59],[38  4  8 12]
vc2c,1776050532,0.5,3.0,100,[151  17  23  57],[34  8  3 17]
vc2c,1006859072,0.1,10.0,100,[152  16  24  56],[42  0  7 13]
vc3c,1595991044,0.5,3.0,100,[ 36  12   0  15  59   6   2   4 114],[ 5  7  0  4 13  3  0  0 30]
vc3c,1255808531,0.3,3.0,100,[ 39   9   0   6  72   2   1   3 116],[ 7  5  0  4 15  1  2  3 25]
vc2c,1903771434,0.1,6.5,100,[157  11  20  60],[34  8  6 14]
vc2c,1473392340,0.5,6.5,100,[152  16  17  63],[32 10  4 16]
vc2c,1909813593,0.3,6.5,100,[154  14  22  58],[35  7  5 15]
vc2c,1521916851,0.1,10.0,100,[157  11  20  60],[38  4  8 12]
vc2c,1776050532,0.5,6.5,100,[151  17  26  54],[34  8  3 17]
vc3c,1255808531,0.3,6.5,100,[ 37  11   0  13  64   3   3   3 114],[ 9  3  0  5 14  1  3  2 25]
vc3c,1595991044,0.5,6.5,100,[ 36  12   0  15  57   8   2   3 115],[ 6  6  0  4 12  4  0  0 30]
vc2c,1006859072,0.3,3.0,100,[154  14  22  58],[42  0  7 13]
vc2c,1903771434,0.1,10.0,100,[155  13  21  59],[34  8  5 15]
vc2c,1473392340,0.5,10.0,100,[154  14  18  62],[32 10  4 16]
vc2c,1909813593,0.3,10.0,100,[153  15  22  58],[35  7  5 15]
vc2c,1521916851,0.3,3.0,100,[156  12  21  59],[38  4  8 12]
vc2c,1776050532,0.5,10.0,100,[154  14  10  70],[33  9  3 17]
vc3c,1255808531,0.3,10.0,100,[ 35  12   1  12  64   4   2   3 115],[ 9  3  0  5 14  1  2  2 26]
vc3c,1595991044,0.5,10.0,100,[ 36  12   0  15  59   6   2   3 115],[ 6  6  0  4 13  3  0  0 30]
vc2c,1903771434,0.3,3.0,100,[155  13  22  58],[35  7  7 13]
vc2c,1006859072,0.3,6.5,100,[153  15  19  61],[42  0  6 14]
vc2c,497853905,0.1,3.0,100,[157  11  24  56],[39  3  8 12]
vc2c,1909813593,0.5,3.0,100,[153  15  22  58],[35  7  5 15]
vc2c,1521916851,0.3,6.5,100,[155  13  16  64],[39  3  6 14]
vc2c,1855781512,0.1,3.0,100,[153  15  23  57],[40  2  5 15]
vc3c,42294981,0.1,3.0,100,[ 35  13   0  17  60   3   2   3 115],[ 7  5  0  2 17  1  0  1 29]
vc3c,1255808531,0.5,3.0,100,[ 37  11   0  13  65   2   3   2 115],[ 8  4  0  6 14  0  2  2 26]
vc2c,1903771434,0.3,6.5,100,[151  17  17  63],[35  7  4 16]
vc2c,1006859072,0.3,10.0,100,[153  15  23  57],[42  0  6 14]
vc2c,497853905,0.1,6.5,100,[152  16  21  59],[39  3  8 12]
